,Model,Compound,Train Accuracy,Test Accuracy
,Linear Regression,tbp_fe2o3,0.5860620662318992,0.5842993204995799
,Linear Regression,tbp,0.5800088285559337,0.5830407905310014
,Partial Least Squares (n=2),tbp_fe2o3,0.5858580212749576,0.5841486392931556
,Partial Least Squares (n=2),tbp,0.5799879937346434,0.5830992803266852
,Partial Least Squares (n=3),tbp_fe2o3,0.5860620662318992,0.5842993204995799
,Partial Least Squares (n=3),tbp,0.5800088285559337,0.5830407905310014
,Random Forest Regression (max_depth = 2),tbp_fe2o3,0.922430849359579,0.923777872895933
,Random Forest Regression (max_depth = 2),tbp,0.9824441134649377,0.9827576487351916
,Random Forest Regression (max_depth = 5),tbp_fe2o3,0.9843845016783623,0.9847458710175815
,Random Forest Regression (max_depth = 5),tbp,0.998343190892801,0.998245123566483
,Random Forest Regression (max_depth = 7),tbp_fe2o3,0.9914115665176659,0.9917292194927636
,Random Forest Regression (max_depth = 7),tbp,0.9998163502561095,0.9997281354400592
,Random Forest Regression (max_depth = 10),tbp_fe2o3,0.9954474648932017,0.9955076955839537
,Random Forest Regression (max_depth = 10),tbp,0.9999718674827023,0.9998834729059081
,SVR RBF Kernel,tbp_fe2o3,0.8884584740221755,0.8883629260350834
,SVR RBF Kernel,tbp,0.9174086941507211,0.9191741463648883
,Gradient Boost Regressor,tbp_fe2o3,0.9893647054193588,0.9896890855174324
,Gradient Boost Regressor,tbp,0.9995394208051605,0.9994721984977354
